,home,place,match_id,team_name,score,overs,rr,bata,batsr,bbp,balla,eco,ballsr,dbp,wickets_lost,sum_extras,nb,w,lb,pen,b,datetime,winner
56,1,The County Ground,8204,Afghanistan,172,41.1,4.17,17.2,67.83,49.53280084338522,15.0,5.22,16.0,52.05291005291006,10,8,0.0,2.0,6.0,0.0,0.0,2019-06-08 12:30:00,0
57,0,The County Ground,8204,New Zealand,173,32.1,5.37,57.66666666666666,67.194,42.31322474993361,9.816666666666666,4.056,16.5,67.81481481481481,3,11,1.0,6.0,4.0,0.0,0.0,2019-06-08 12:30:00,1
58,1,Cardiff Wales Stadium,8212,South Africa,131,28.4,4.56,131.0,81.27666666666666,56.1453849832616,14.145833333333334,3.598,23.625,70.42857142857142,1,5,0.0,4.0,1.0,0.0,0.0,2019-06-15 12:30:00,1
59,0,Cardiff Wales Stadium,8212,Afghanistan,125,34.1,3.65,12.5,43.379090909090905,26.343959071231797,29.0,4.3100000000000005,36.0,60.16666666666666,10,7,0.0,3.0,4.0,0.0,0.0,2019-06-15 12:30:00,0
60,1,Old Trafford,8215,England,397,50,7.94,66.16666666666667,133.5375,37.66339582871841,19.77777777777777,4.8,23.33333333333333,56.53659611992946,6,9,1.0,7.0,1.0,0.0,0.0,2019-06-18 09:30:00,1
61,0,Old Trafford,8215,Afghanistan,251,50,5.02,31.375,77.5311111111111,35.67768438294754,25.5,8.198333333333332,20.0,40.586419753086425,8,9,0.0,8.0,1.0,0.0,0.0,2019-06-18 09:30:00,0
62,1,The Ageas Bowl,8219,India,224,50,4.48,28.0,70.175,16.157614730440258,18.25,4.111999999999999,26.1875,59.548022598870055,8,7,0.0,7.0,0.0,0.0,0.0,2019-06-22 09:30:00,1
63,0,The Ageas Bowl,8219,Afghanistan,213,49.5,4.27,21.3,54.107272727272736,22.73023273023273,30.33333333333333,4.638333333333335,41.0,50.25573192239859,10,17,0.0,9.0,4.0,0.0,4.0,2019-06-22 09:30:00,0
64,1,The Ageas Bowl,8222,Bangladesh,262,50,5.24,37.42857142857143,84.7775,25.51719014245591,19.95,4.180000000000001,30.0,57.04365079365079,7,9,0.0,9.0,0.0,0.0,0.0,2019-06-24 09:30:00,1
65,0,The Ageas Bowl,8222,Afghanistan,200,47,4.25,20.0,52.157272727272726,18.4920776209506,37.25,5.534999999999999,41.0,44.043209876543216,10,13,0.0,6.0,6.0,0.0,1.0,2019-06-24 09:30:00,0
66,1,Headingley,8227,Pakistan,230,49.4,4.63,32.857142857142854,73.72777777777777,33.960000208955925,23.5625,4.4366666666666665,32.25,54.86111111111111,7,10,0.0,5.0,4.0,0.0,1.0,2019-06-29 09:30:00,1
67,0,Headingley,8227,Afghanistan,227,50,4.54,25.22222222222222,66.01181818181819,36.02642971064024,17.833333333333332,4.791666666666667,30.0,56.51101532567049,9,18,0.0,10.0,8.0,0.0,0.0,2019-06-29 09:30:00,0
68,1,Manuka Oval,889,Bangladesh,267,50,5.34,26.7,76.05727272727273,30.650022336073302,21.83333333333333,3.865714285714286,34.1,57.925633565795295,10,13,0.0,6.0,4.0,0.0,3.0,2015-02-18 03:30:00,1
69,0,Manuka Oval,889,Afghanistan,162,42.5,3.78,16.2,56.66181818181818,23.89512646197138,28.4,4.768571428571429,31.8,54.947480908072045,10,3,0.0,2.0,1.0,0.0,0.0,2015-02-18 03:30:00,0
70,1,University Oval,894,Sri Lanka,236,48.2,4.88,39.333333333333336,62.13250000000001,28.66604695027452,28.066666666666663,4.586666666666666,36.66666666666666,60.381773399014776,6,6,1.0,3.0,2.0,0.0,0.0,2015-02-21 22:00:00,1
71,0,University Oval,894,Afghanistan,232,49.4,4.67,23.2,68.05545454545455,46.5735044682413,35.666666666666664,5.178571428571429,44.0,49.649470899470906,10,23,1.0,16.0,6.0,0.0,0.0,2015-02-21 22:00:00,0
72,1,Zayed Cricket Stadium,8983,Sri Lanka,158,41.2,3.82,15.8,43.20272727272727,17.09226989394392,32.3,4.828333333333332,39.36,50.3395061728395,10,13,0.0,6.0,5.0,0.0,2.0,2018-09-17 11:30:00,0
73,0,Zayed Cricket Stadium,8983,Afghanistan,249,50,4.98,24.9,106.3718181818182,32.24466930349283,14.625,3.712,25.75,60.00036075036076,10,9,0.0,7.0,2.0,0.0,0.0,2018-09-17 11:30:00,1
74,1,Zayed Cricket Stadium,8986,Bangladesh,119,42.1,2.82,11.9,34.43636363636363,6.889406889406889,22.5,4.758749999999999,26.0,51.90393518518519,10,5,0.0,5.0,0.0,0.0,0.0,2018-09-20 11:30:00,0
75,0,Zayed Cricket Stadium,8986,Afghanistan,255,50,5.1,36.42857142857143,93.21555555555555,37.82675943595483,12.416666666666666,3.3185714285714285,28.5,65.31084656084656,7,7,1.0,1.0,0.0,0.0,5.0,2018-09-20 11:30:00,1
76,1,Zayed Cricket Stadium,8988,Pakistan,258,49.3,5.21,36.85714285714285,92.88333333333333,41.95677416265652,29.666666666666668,5.108333333333333,36.66666666666666,46.52777777777777,7,17,0.0,13.0,2.0,0.0,2.0,2018-09-21 11:30:00,1
77,0,Zayed Cricket Stadium,8988,Afghanistan,257,50,5.14,42.833333333333336,92.3525,35.618434582121296,30.944444444444443,5.146000000000001,36.66666666666666,48.736842105263165,6,5,2.0,1.0,2.0,0.0,0.0,2018-09-21 11:30:00,0
78,1,Zayed Cricket Stadium,8990,Afghanistan,246,50,4.92,35.142857142857146,76.1888888888889,33.907670322758584,33.0,5.556666666666668,46.66666666666666,43.17901234567901,7,8,0.0,5.0,3.0,0.0,0.0,2018-09-23 11:30:00,0
79,0,Zayed Cricket Stadium,8990,Bangladesh,249,50,4.98,35.57142857142857,72.27555555555556,19.71758898588167,31.25,4.701666666666666,35.25,52.30709876543211,7,7,0.0,4.0,2.0,0.0,1.0,2018-09-23 11:30:00,1
80,1,Dubai International Stadium,8991,India,252,49.5,5.05,25.2,71.66999999999999,21.937364071335363,28.666666666666664,5.406666666666666,35.2,59.01675485008818,10,9,1.0,3.0,5.0,0.0,0.0,2018-09-25 11:30:00,0
81,0,Dubai International Stadium,8991,Afghanistan,252,50,5.04,31.5,54.191,19.227150537634408,21.5,5.394285714285715,28.375,47.16505246166263,8,7,1.0,5.0,1.0,0.0,0.0,2018-09-25 11:30:00,0
82,1,WACA,908,Australia,417,50,8.34,69.5,132.65714285714287,43.09905984865856,12.4,3.9185714285714286,21.4,68.6453823953824,6,17,3.0,7.0,5.0,0.0,2.0,2015-03-04 06:30:00,1
83,0,WACA,908,Afghanistan,142,37.3,3.78,14.2,42.51909090909091,16.372798324669983,44.75,8.528571428571428,31.5,35.238095238095234,10,20,1.0,10.0,5.0,0.0,4.0,2015-03-04 06:30:00,0
84,1,McLean Park,913,New Zealand,188,36.1,5.19,47.0,97.21,46.7608414976836,18.208333333333336,4.833333333333333,28.75,64.72222222222221,4,6,0.0,4.0,2.0,0.0,0.0,2015-03-07 22:00:00,1
85,0,McLean Park,913,Afghanistan,186,47.4,3.9,18.6,41.65909090909091,32.73208273208273,42.0,5.148000000000001,51.0,54.52380952380952,10,14,0.0,9.0,5.0,0.0,0.0,2015-03-07 22:00:00,0
